AxIS Spike File,C:\Users\Emily Gordon\OneDrive - Nexus365\DPhil OXION\DB Rotation\MEA Project\MEA Paper\MEA_paper_hippocampal_data_analysis\Maddy_WT Hippocampal Culture\Blockers Challenge_04-05-23\WT hippocampal culture_31DIV_04-05-2023_BlockersChallenge-1h(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,120.000000
Active Electrode Criterion (spks/min), 5
Minimum Covered Resistance (kOhms),18
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,50.000000
    Max ISI (ms),100.000000
    Min # of Electrodes (%),35.000000

Synchrony Settings,
    Synchrony Window,20.000000

Average Network Burst Analysis Settings,
    Number of network bursts vary by well
    Network Burst Window Start (ms),0.000000
    Network Burst Window End (ms),500.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,Mefloquine [30 µM],D-AP5 [50 µM],CNQX [10 µM],Mefloquine [30 µM],D-AP5 [50 µM],CNQX [10 µM],Mefloquine [30 µM],D-AP5 [50 µM],CNQX [10 µM],Mefloquine [30 µM],D-AP5 [50 µM],CNQX [10 µM],Mefloquine [10 µM],D-AP5 [25 µM],CNQX [5 µM],Mefloquine [10 µM],D-AP5 [25 µM],CNQX [5 µM],Mefloquine [10 µM],D-AP5 [25 µM],CNQX [5 µM],Mefloquine [10 µM],D-AP5 [25 µM],CNQX [5 µM]
Activity Metrics
    Number of Spikes,1.000000,1.000000,271.000000,0.000000,0.000000,27.000000,0.000000,123.000000,0.000000,0.000000,607.000000,778.000000,1.000000,248.000000,18.000000,5.000000,0.000000,0.000000,0.000000,0.000000,435.000000,387.000000,1.000000,3.000000
    Mean Firing Rate (Hz),0.000521,0.000521,0.141146,0.000000,0.000000,0.014063,0.000000,0.064062,0.000000,0.000000,0.316146,0.405208,0.000521,0.129167,0.009375,0.002604,0.000000,0.000000,0.000000,0.000000,0.226563,0.201563,0.000521,0.001563
    ISI Coefficient of Variation - Avg, , ,2.798344, , ,0.326633, ,1.677807, , ,2.793296,0.984935, ,1.575927,1.940398, , , , , ,1.042454,1.601683, , 
    Number of Active Electrodes,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,4.000000,0.000000,0.000000,6.000000,6.000000,0.000000,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,1.000000,0.000000,0.000000
    Weighted Mean Firing Rate (Hz), , ,2.258333, , ,0.100000, ,0.256250, , ,0.825000,1.072222, ,0.516667,0.150000, , , , , ,0.897917,3.225000, , 
Electrode Burst Metrics
    Number of Bursts,0.000000,0.000000,12.000000,0.000000,0.000000,2.000000,0.000000,5.000000,0.000000,0.000000,24.000000,11.000000,0.000000,17.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,22.000000,4.000000,0.000000,0.000000
    Number of Bursting Electrodes,0.000000,0.000000,1.000000,0.000000,0.000000,2.000000,0.000000,3.000000,0.000000,0.000000,5.000000,4.000000,0.000000,4.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000
    Burst Duration - Avg (sec), , ,0.208727, , ,0.035160, ,0.060658, , ,0.072240,0.109481, ,0.049708, ,0.053520, , , , ,0.013618,0.152820, , 
    Burst Duration - Std (sec), , , , , ,0.002546, ,0.024859, , ,0.008818,0.056641, ,0.032891, , , , , , , , , , 
    Number of Spikes per Burst - Avg, , ,7.833333, , ,10.000000, ,16.111111, , ,13.250000,18.275000, ,6.107955, ,5.000000, , , , ,5.181818,5.750000, , 
    Number of Spikes per Burst - Std, , , , , ,2.828427, ,8.526647, , ,3.500000,21.367479, ,1.502910, , , , , , , , , , 
    Mean ISI within Burst - Avg (sec), , ,0.031373, , ,0.004063, ,0.004522, , ,0.006368,0.012485, ,0.010509, ,0.013380, , , , ,0.003269,0.032490, , 
    Mean ISI within Burst - Std (sec), , , , , ,0.000994, ,0.001336, , ,0.001561,0.011710, ,0.008870, , , , , , , , , , 
    Median ISI within Burst - Avg (sec), , ,0.026293, , ,0.003920, ,0.004093, , ,0.003753,0.009801, ,0.006002, ,0.011840, , , , ,0.003095,0.016150, , 
    Median ISI within Burst - Std (sec), , , , , ,0.001245, ,0.001176, , ,0.001135,0.009132, ,0.004683, , , , , , , , , , 
    Median/Mean ISI within Burst - Avg, , ,0.776509, , ,0.955978, ,0.911059, , ,0.653669,0.794406, ,0.711476, ,0.884903, , , , ,0.945581,0.450353, , 
    Median/Mean ISI within Burst - Std, , , , , ,0.072431, ,0.065312, , ,0.074207,0.068432, ,0.214707, , , , , , , , , , 
    Inter-Burst Interval - Avg (sec), , ,7.093302, , , , ,26.882800, , ,18.351684,17.934410, ,16.410451, , , , , , ,5.608274,30.821147, , 
    Inter-Burst Interval - Std (sec), , ,0.000000, , , , ,0.000000, , ,3.273290,7.498627, ,8.314788, , , , , , ,0.000000,0.000000, , 
    Burst Frequency - Avg (Hz), , ,0.100000, , ,0.008333, ,0.013889, , ,0.040000,0.022917, ,0.035417, ,0.008333, , , , ,0.183333,0.033333, , 
    Burst Frequency - Std (Hz), , , , , ,0.000000, ,0.009623, , ,0.014907,0.017180, ,0.039308, , , , , , , , , , 
    IBI Coefficient of Variation - Avg, , ,1.517724, , , , ,0.583925, , ,1.014779,0.615037, ,0.431285, , , , , , ,0.526958,0.937691, , 
    IBI Coefficient of Variation - Std, , ,0.000000, , , , ,0.000000, , ,0.139492,0.224561, ,0.035884, , , , , , ,0.000000,0.000000, , 
    Burst Percentage - Avg,0.000000,0.000000,34.686347, , ,40.000000, ,56.596409, , ,38.333606,27.310541,0.000000,37.312945,0.000000,100.000000, , , , ,14.250000,5.943152,0.000000,0.000000
    Burst Percentage - Std, , , , , ,54.772256, ,49.084451, , ,41.486607,42.942672, ,32.629795, , , , , , ,31.863969, , , 
Network Burst Metrics
    Number of Network Bursts,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
    Network Burst Frequency, , , , , , , , , , ,0.033333,0.008333, , , , , , , , , , , , 
    Network Burst Duration - Avg (sec), , , , , , , , , , ,0.134120,0.312720, , , , , , , , , , , , 
    Network Burst Duration - Std (sec), , , , , , , , , , ,0.032031, , , , , , , , , , , , , 
    Number of Spikes per Network Burst - Avg, , , , , , , , , , ,77.000000,79.000000, , , , , , , , , , , , 
    Number of Spikes per Network Burst - Std, , , , , , , , , , ,18.708287, , , , , , , , , , , , , 
    Mean ISI within Network Burst - Avg (sec), , , , , , , , , , ,0.001895,0.004009, , , , , , , , , , , , 
    Mean ISI within Network Burst - Std (sec), , , , , , , , , , ,0.000850, , , , , , , , , , , , , 
    Median ISI within Network Burst - Avg (sec), , , , , , , , , , ,0.001010,0.002400, , , , , , , , , , , , 
    Median ISI within Network Burst - Std (sec), , , , , , , , , , ,0.000089, , , , , , , , , , , , , 
    Median/Mean ISI within Network Burst - Avg, , , , , , , , , , ,0.596804,0.598619, , , , , , , , , , , , 
    Median/Mean ISI within Network Burst - Std, , , , , , , , , , ,0.204294, , , , , , , , , , , , , 
    Number of Elecs Participating in Burst - Avg, , , , , , , , , , ,7.500000,8.000000, , , , , , , , , , , , 
    Number of Elecs Participating in Burst - Std, , , , , , , , , , ,1.290994, , , , , , , , , , , , , 
    Number of Spikes per Network Burst per Channel - Avg, , , , , , , , , , ,10.182540,9.875000, , , , , , , , , , , , 
    Number of Spikes per Network Burst per Channel - Std, , , , , , , , , , ,1.330401, , , , , , , , , , , , , 
    Network Burst Percentage, , , , , , , , , , ,50.741351,10.154242, , , , , , , , , , , , 
    Network IBI Coefficient of Variation, , , , , , , , , , ,0.880559, , , , , , , , , , , , , 
    Network Normalized Duration IQR, , , , , , , , , , ,0.142268, , , , , , , , , , , , , 
Synchrony Metrics
    Area Under Normalized Cross-Correlation,0.000000,0.000000,0.000000,0.000000,0.000000,0.151539,0.000000,0.053033,0.000000,0.000000,0.156300,0.024580,0.000000,0.144235,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.062352,0.000000,0.000000,0.000000
    Area Under Cross-Correlation,0.000000,0.000000,0.000000,0.000000,0.000000,0.012847,0.000000,0.019722,0.000000,0.000000,0.274792,0.033125,0.000000,0.054028,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.036389,0.000000,0.000000,0.000000
    Full Width at Half Height of Normalized Cross-Correlation, , , , , ,3.000000, ,2.000000, , ,14.000000,15.000000, ,7.000000, , , , , , ,3.000000, , , 
    Full Width at Half Height of Cross-Correlation, , , , , ,5.000000, ,21.000000, , ,53.000000,43.000000, ,13.000000, , , , , , ,12.000000, , , 
    Synchrony Index,0.000000,0.000000,0.000000,0.000000,0.000000,0.856606,0.000000,0.316764,0.000000,0.000000,0.469092,0.138375,0.000000,0.677696,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.314411,0.000000,0.000000,0.000000
    Kreuz SPIKE Distance, , , , , , , , , , , , , , , , , , , , , , , , 
Average Network Burst Metrics
    Start Electrode, , , , , , , , , , ,21.000000,33.000000, , , , , , , , , , , , 
    Percent Bursts with Start Electrode, , , , , , , , , , ,75.000000,100.000000, , , , , , , , , , , , 
    Burst Peak (Max Spikes per sec), , , , , , , , , , ,1750.000000,3000.000000, , , , , , , , , , , , 
    Time to Burst Peak (ms), , , , , , , , , , ,45.500000,164.500000, , , , , , , , , , , , 
Viability Metrics
    Resistance - Avg (kOhms),28.477124,26.191416,25.516452,14.178997,13.907289,19.392923,20.114206,14.414076,32.963204,27.198099,16.590590,25.282599,23.123254,18.610222,16.203302,17.828859,15.853855,14.820605,21.260094,6.118715,19.664159,18.782649,13.881651,12.854318
    Resistance - Std (kOhms),13.538676,10.855801,9.050172,8.313222,6.904614,10.905790,12.809574,6.272575,10.732322,11.496625,7.187694,13.130224,9.538434,9.625716,6.757170,8.121650,8.785707,7.597989,10.653273,0.252732,8.761343,10.296262,6.556634,5.064287
    Number of Covered Electrodes,9.000000,12.000000,10.000000,1.000000,2.000000,6.000000,6.000000,3.000000,14.000000,12.000000,4.000000,8.000000,10.000000,5.000000,3.000000,3.000000,4.000000,4.000000,8.000000,0.000000,6.000000,5.000000,3.000000,1.000000
    Weighted Mean Resistance (kOhms),36.979995,30.039365,29.056913,40.630126,28.582257,30.988967,29.597783,25.613011,34.511364,30.733602,26.409486,35.119112,27.826429,27.848467,27.701100,31.414723,28.420952,25.427357,29.546664, ,27.304194,31.341931,24.906682,29.680979

Measurement,A1_11,A1_12,A1_13,A1_14,A1_21,A1_22,A1_23,A1_24,A1_31,A1_32,A1_33,A1_34,A1_41,A1_42,A1_43,A1_44,A2_11,A2_12,A2_13,A2_14,A2_21,A2_22,A2_23,A2_24,A2_31,A2_32,A2_33,A2_34,A2_41,A2_42,A2_43,A2_44,A3_11,A3_12,A3_13,A3_14,A3_21,A3_22,A3_23,A3_24,A3_31,A3_32,A3_33,A3_34,A3_41,A3_42,A3_43,A3_44,A4_11,A4_12,A4_13,A4_14,A4_21,A4_22,A4_23,A4_24,A4_31,A4_32,A4_33,A4_34,A4_41,A4_42,A4_43,A4_44,A5_11,A5_12,A5_13,A5_14,A5_21,A5_22,A5_23,A5_24,A5_31,A5_32,A5_33,A5_34,A5_41,A5_42,A5_43,A5_44,A6_11,A6_12,A6_13,A6_14,A6_21,A6_22,A6_23,A6_24,A6_31,A6_32,A6_33,A6_34,A6_41,A6_42,A6_43,A6_44,B1_11,B1_12,B1_13,B1_14,B1_21,B1_22,B1_23,B1_24,B1_31,B1_32,B1_33,B1_34,B1_41,B1_42,B1_43,B1_44,B2_11,B2_12,B2_13,B2_14,B2_21,B2_22,B2_23,B2_24,B2_31,B2_32,B2_33,B2_34,B2_41,B2_42,B2_43,B2_44,B3_11,B3_12,B3_13,B3_14,B3_21,B3_22,B3_23,B3_24,B3_31,B3_32,B3_33,B3_34,B3_41,B3_42,B3_43,B3_44,B4_11,B4_12,B4_13,B4_14,B4_21,B4_22,B4_23,B4_24,B4_31,B4_32,B4_33,B4_34,B4_41,B4_42,B4_43,B4_44,B5_11,B5_12,B5_13,B5_14,B5_21,B5_22,B5_23,B5_24,B5_31,B5_32,B5_33,B5_34,B5_41,B5_42,B5_43,B5_44,B6_11,B6_12,B6_13,B6_14,B6_21,B6_22,B6_23,B6_24,B6_31,B6_32,B6_33,B6_34,B6_41,B6_42,B6_43,B6_44,C1_11,C1_12,C1_13,C1_14,C1_21,C1_22,C1_23,C1_24,C1_31,C1_32,C1_33,C1_34,C1_41,C1_42,C1_43,C1_44,C2_11,C2_12,C2_13,C2_14,C2_21,C2_22,C2_23,C2_24,C2_31,C2_32,C2_33,C2_34,C2_41,C2_42,C2_43,C2_44,C3_11,C3_12,C3_13,C3_14,C3_21,C3_22,C3_23,C3_24,C3_31,C3_32,C3_33,C3_34,C3_41,C3_42,C3_43,C3_44,C4_11,C4_12,C4_13,C4_14,C4_21,C4_22,C4_23,C4_24,C4_31,C4_32,C4_33,C4_34,C4_41,C4_42,C4_43,C4_44,C5_11,C5_12,C5_13,C5_14,C5_21,C5_22,C5_23,C5_24,C5_31,C5_32,C5_33,C5_34,C5_41,C5_42,C5_43,C5_44,C6_11,C6_12,C6_13,C6_14,C6_21,C6_22,C6_23,C6_24,C6_31,C6_32,C6_33,C6_34,C6_41,C6_42,C6_43,C6_44,D1_11,D1_12,D1_13,D1_14,D1_21,D1_22,D1_23,D1_24,D1_31,D1_32,D1_33,D1_34,D1_41,D1_42,D1_43,D1_44,D2_11,D2_12,D2_13,D2_14,D2_21,D2_22,D2_23,D2_24,D2_31,D2_32,D2_33,D2_34,D2_41,D2_42,D2_43,D2_44,D3_11,D3_12,D3_13,D3_14,D3_21,D3_22,D3_23,D3_24,D3_31,D3_32,D3_33,D3_34,D3_41,D3_42,D3_43,D3_44,D4_11,D4_12,D4_13,D4_14,D4_21,D4_22,D4_23,D4_24,D4_31,D4_32,D4_33,D4_34,D4_41,D4_42,D4_43,D4_44,D5_11,D5_12,D5_13,D5_14,D5_21,D5_22,D5_23,D5_24,D5_31,D5_32,D5_33,D5_34,D5_41,D5_42,D5_43,D5_44,D6_11,D6_12,D6_13,D6_14,D6_21,D6_22,D6_23,D6_24,D6_31,D6_32,D6_33,D6_34,D6_41,D6_42,D6_43,D6_44,
Activity Metrics
    Number of Spikes,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,271.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,4.000000,0.000000,0.000000,12.000000,8.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22.000000,0.000000,0.000000,21.000000,0.000000,0.000000,0.000000,61.000000,19.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.000000,48.000000,115.000000,68.000000,284.000000,0.000000,5.000000,3.000000,0.000000,0.000000,0.000000,0.000000,5.000000,0.000000,0.000000,63.000000,50.000000,12.000000,0.000000,260.000000,3.000000,0.000000,15.000000,0.000000,0.000000,0.000000,75.000000,2.000000,0.000000,1.000000,0.000000,360.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,67.000000,29.000000,0.000000,108.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,44.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,160.000000,0.000000,41.000000,0.000000,22.000000,208.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,387.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000
    Mean Firing Rate (Hz),0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.258333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016667,0.033333,0.000000,0.000000,0.100000,0.066667,0.000000,0.000000,0.000000,0.008333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.183333,0.000000,0.000000,0.175000,0.000000,0.000000,0.000000,0.508333,0.158333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133333,0.400000,0.958333,0.566667,2.366667,0.000000,0.041667,0.025000,0.000000,0.000000,0.000000,0.000000,0.041667,0.000000,0.000000,0.525000,0.416667,0.100000,0.000000,2.166667,0.025000,0.000000,0.125000,0.000000,0.000000,0.000000,0.625000,0.016667,0.000000,0.008333,0.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008333,0.000000,0.000000,0.000000,0.000000,0.558333,0.241667,0.000000,0.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.366667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.041667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.333333,0.000000,0.341667,0.000000,0.183333,1.733333,0.033333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.225000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025000
    ISI Coefficient of Variation, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.798344, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.326633, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.313919, , ,4.450943, , , ,1.196829,0.749539, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.743706,1.789309,1.578816,4.818052,2.105731, , , , , , , , , , ,4.724163,0.370990,0.851834, ,1.028775, , ,1.057745, , , ,1.670540, , , , ,0.929723, , , , , , , , , , , , , , , , ,1.629090,0.934442, ,2.410723, , , , , , , ,1.329453, , , , , , , , , , , , ,1.940398, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.017903, ,0.799148, ,0.461345,0.891419, , , , , , , , , ,1.601683, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Electrode Burst Metrics
